	artist	category	genre	title	tracks	year	id	merged_values
66	Various Artistsry Cd2	Data	Club	Ministry Of Sound - Sessions Eight - Todd Terry Cd2	1066	1997	100072	
67	Les Vamps	Data		2 Eme Show	1067		100073	
68	Ã±ã¡ã®ã°ã­ã¨ãª	Data	Pop	Absolutãã›ã‰ Ã•ãˆã’ 2	1068	2003	100074	
69	Buster B. Jones	Folk	Folk	Ballads & Barn Burners	1069	1999	100075	
70	V Rios	Folk		Folia De S O Jo O	1070		100076	
71	Franz Lambert	Folk	Instrumental	Franz Lambert Spielt Beliebte Evergreens	1071	1977	100077	
72	Leon Siu And David 'kawika' Kahiapo	Folk		Slack Key Praise	1072		100078	
73	Freikorps	Folk	National Folk	Kai Freikorps - Nordmann	1073		100080	
74	Detlef Jã¶cker	Folk	Vocal	Und Weiter Geht's Im Sauseschritt	1074		100081	
75	Barry Mcguire	Folk	Oldies	Eve Of Destruction	1075	1985	100082	
76	Â¼â¼â¹ãœã‡ã‘â¼ã’â¸â® Â±â¹â¾ã‡â¼â±â±â³â´ãœ	Folk		Â¼â¼â¹ãœã‡ã‘ Â¼ã’â¸â®	1076		100083	
77	Hana A Petr Ulrychovi	Folk		Nikola Suhaj Loupeznik	1077		100084	
78	Primus	Folk	Gospel	Juletoner	1078	1995	100085	
79	The Pandanus Club	Folk		Ho'ike	1079		100086	
80	Tschou Zã¤me!	Folk		Wã¤ge Dir	1080		100087	
81	Clive Gregson	Folk		Comfort And Joy	1081		100088	
82	Various Artists	Folk	Folk	Dorival Caymmi	1082		100089	
83	Gauchesco	Folk	Folk	Mano Lima	1083	2002	100090	
84	Marco Pereira	Folk	Folk	Elegia	1084	1990	100091	
85	Paveier	Folk	Folklore	Beinah (gefã¼hlsecht Und Lebensfroh)	1085		100092	
86	Johnny Light	Folk	Folk	Verhaal Zonder Woorden	1086		100093	
87	Keri Noble	Folk	Pop	Fearless	1087	2004	100094	
88	Peder Persson	Folk	Folk	Fã¶dselfest	1088	2001	100095	
89	Epo	Folk	Pop-folk	Poptracks	1089	1987	100096	
90	North Cregg	Folk	Folk	Summer At My Feet	1090	2003	100097	
91	Eleni Moraites	Folk		Rival	1091		100098	
92	Fabienne Thibeault	Folk		Les Plus Belles Chansons - Cd 2/2	1092		100099	
93	Sofi Marinova	Folk	Pop-folk	Osadena Liubov	1093	2002	100100	
94	Various	Folk	Folk	Ich Hab' Schlager Lieb	1094	1999	100101	
95	Justin Mcroberts	Folk	Folk/rock	Reason For Living	1095	1999	100102	
96	Varios	Folk		Time Well Spent '93	1096		100103	
97	Mary Black	Folk		Without The Fanfare	1097		100104	
98	Arzu	Folk	National Folk	Ceylanim	1098		100105	
99	Dunaways	Folk	Gospel	Beautiful Day	1099	2003	100106	
100	Indigo Girls	Folk		Shaming Of The Sun	1100		100107	
101	Indigo Girls	Folk		Strange Fire	1101		100108	
102	The Choir Company	Folk	Gospel	Laat Uw Grootheid Zien	1102	1997	100109	
103	Ciãºnas	Folk	Irish	Celtic Tiger	1103	2001	100110	
104	Isle Of Light	Folk	Celtic	Winters Welcome	1104	2002	100111	
105	Holly Near	Folk	Folk	Simply Love - Disc One	1105	2000	100112	
106	The String Cheese Incident	Folk	J A M	Untying The Not	1106	2003	100113	
107	Gerardo Peã±a	Folk	Folklore	Nada	1107		100114	
108	Lj Booth	Folk	Folk	The Ox That Pulls The Cart	1108	2002	100115	
109	Stefan Sundstrã¶m	Folk		Babyland	1109		100116	
110	Lovett, Lyle	Folk	Folk	The Road To Ensenada	1110		100117	
111	Kisho, Real Selectah	Folk		Pssst Remix	1111		100118	
112	Rebecca St.James	Folk	Gospel	Pray	1112	1998	100119	
113	Ã£?â€¢ã£?â ã£?â¾ã£?â€¢ã£?â€”	Folk	Folk	Ã¤â¸â‚¬ã¤âºâºã§â„¢â¾ã¦â­å’ Ã¥â·â»ã¤âºå’	1113		100120	
114	Iris	Folk	Indie	After School Special	1114		100121	
115	Lanã§ando As Redes	Folk	Gospel	Grito Da Noiva	1115		100122	
116	Eugene Cole And Persuaded	Folk	Gospel	He Will Work It Out	1116	1999	100123	
117	Various Artists	Folk	Folk	Zlote Przeboje Polskiego Socjalizmu	1117	1999	100124	
118	Roger Fortner	Folk	Gospel	Quiet Time Hymns On The Guitar	1118	1998	100125	
119	Tom Paxton	Folk		Balloon-alloon-alloon	1119		100126	
120	Franco Bleve & Canto Antico Della Nostra Terra	Folk	Folklore	Canzoni Brindisine	1120	1989	100127	
121	Various Artistse 2	Folk	Holiday - Christmas	Holiday Favorites, Christmas Collection Volume 2	1121	1998	100128	
122	Fnac Choice	Folk	Pop	Salute Flamenco	1122	2003	100129	
123	Leo Kottke	Folk	Folk	6- And 12-string Guitar	1123		100130	
124	Tokio Uchida	Folk	Folk	Coconuts Clash	1124		100131	
125	Derecho De Madrid	Folk	Folk	De Madrid A Mexico Pasando Por Cuba	1125		100132	
126	All The Best From Russia	Folk		All The Best From Russia	1126		100133	
127	Songs 4 Worship	Folk	Christian	Holy Ground! - Disc 2	1127	1998	100134	
128	Various Artists	Folk	Folk	Populã¤re Musik Aus Griechenland	1128		100135	
129	Joan Baez	Folk		5	1129		100136	
130	Marianne Kesler	Folk		All The Days Of My Life	1130		100137	
131	Mustafa Sandal	Folk	Folk	Araba	1131	1999	100138	
132	Josã© Reza	Folk	Folk	Mais Que Saudades	1132		100139	
133	Liliana Herrero & Juan Falu	Folk		Leguizamon-castilla Por...	1133		100140	
134	Mã´ra-per	Folk	Folk-rock	Minnesmã¤rken	1134	1996	100141	
135	Garth Wilwand	Folk	Folk-rock	Eyes Of The Hurricane	1135	2001	100142	
136	Clannad	Folk	Celtic	Anam	1136	1990	100143	
137	Doe Maar	Folk		4us	1137		100144	
138	Guzman	Folk	Pop	Guzmã¡n Y Cã­a	1138	1998	100145	
139	David Olney	Folk	Singer/songwriter	Top To Bottom	1139	1991	100146	
140	Flipper Dave	Folk	Folk	Flipper Dave	1140	1995	100147	
141	Esma Redzepova	Folk	Worldmusic	Esma Queen Of The Gypsies: Macedonian Songs (disk 1)	1141	1998	100148	
142	Al Bano	Folk		I Grandi Successi Di Al Bano	1142		100149	
143	Jim Butke	Folk	Celtic	A Feisin Statement	1143		100150	
144	Trio Bravo	Folk	National Folk	Pieces	1144		100151	
145	Lã©a Mendonã§a	Folk	Gospel	Uma Nova Unã§ã£o	1145		100152	
146	Various Artists	Folk	Folk	Ã¤â¸â­ã¥â³â¶ã£?â¿ã£â€šâ€ ã£?? Song Library 1	1146	1997	100153	
147	James Durst	Folk	Folk	Like The Wind	1147	2000	100154	
148	Konstantina	Folk		I Kaliteres Stigmes Mou	1148	1997	100155	
149	Pete Seeger & Leon Gieco	Folk		Concierto En Vivo 1	1149		100156	
150	Ivy Markaity	Folk		World's Not Big Enough	1150	1997	100157	
151	Cucunandy	Folk	Celtic	Contented Minds	1151	2001	100158	
152	The Cã©ilã­ Bandits	Folk	Folk	Hangin' At The Crossroads	1152		100159	
153	Nylons	Folk		4 On The Floor	1153		100160	
154	Paddy Reilly	Folk	Folk	Paddy Reilly Live	1154		100161	
155	Daily Planet	Folk	Folklore	The Big Scoop	1155	1998	100162	
156	Kazuhiko Kato	Folk	Folk	Bokuno Sobani Oideyo	1156	1969	100163	
157	Various	Folk	Folk	Hollyday Musik 2	1157		100164	
158	Dario Domingues	Folk		Los Vibrantes	1158		100165	
159	Vari	Folk	Latin	El Campeon Latino	1159	1999	100166	
160	Vanja Lazarova Dimitrova	Folk	Folk	Love	1160		100167	
161	Sal Solo Band	Folk	Gospel	Through Ancient Eyes	1161	1999	100168	
162	Hezekiah Walker	Folk	Gospel	The Best Of Hezekiah Walker	1162	1992	100169	
163	Alexander Scourby	Folk	Gospel	King James Bible	1163		100170	
164	Bapi Das Baul	Folk	Folklore	Senses	1164	2002	100171	
165	Sylloges	Folk	Greek Non Stop	Sou3e Club (1990) 192 Kbps	1165	1990	100172	
166	The Tear Garden	Folk	Indie	Bouquet Of Black Orchids++by Mioudso99++	1166		100173	
167	Rewasese Entertainment	Folk	Fijian	Mana Island	1167	1991	100174	
168	Harmonikarice Zupan	Folk		Glasba Zdruzila Nas Je	1168		100175	
169	Gunstein Draugedalen	Folk		Om Hundrede Ã¥r Er Alting Glemt	1169	2003	100176	
170	Merle Haggard	Folk		Merle Haggard Country Legend- Disc. 3	1170		100177	
171	Clannad	Folk	Folk	Atlantic Realm	1171	1989	100178	
172	Stas Bulanda's Average Polka Band	Folk		Stormin' Polkas	1172		100179	
173	Albin Berger	Folk		Wahre Liebe	1173		100180	
174	Various Artists	Folk		Tzlil Mechuvan	1174		100181	
175	Some Like It Hot	Folk		Some Like It Hot	1175		100182	
176	Erich Kunz	Folk	Folk	Erich Kunz Singt Wiener Lieder	1176		100183	
177	Â°ãâ·ã§â±j	Folk	Folk	Â¤sâ¨â£â¤ã«â©ãº	1177	1981	100184	
178	P. Watelet - E. Germinet	Folk	Folklore	Le Top Des Chansons Paillardes	1178	1999	100185	
179	Sam Baardman	Folk		Kicking The Stone Home	1179		100186	
180	Ã€ã«ã¥ãªã±ã ã­ã¤ã° Ãã®ã¢ã¨ãªã®ã¢	Folk	Chanson	Ã‘ Ãªã°ã ã±ã ã¢ã¨ã¶ã¥ã© Ã¢ Ã®ã¡ã­ã¨ã¬ãªã³	1180	1996	100187	
181	Bilja Krstic & Bistrik Orchestra	Folk	Folk	Zapisi	1181	2002	100188	
182	Billy Bragg And The Blokes	Folk	Folklore	England, And Half-english	1182	2002	100189	
183	Catie Curtis	Folk	Folk	Acoustic Valentine	1183	2002	100190	
184	Gem Boy	Folk		Il Triangolo Nei Bermuda	1184		100191	
185	Adema	Folk	Metal	Adema	1185	2001	100192	
186	Tomaz Pengov	Folk		Biti Tu	1186		100193	
187	The Christina Abbott Band	Folk	Pop-folk	Climbing Cathedrals	1187	2001	100194	
188	Danko	Folk		Fjeld / Andersen	1188		100195	
189	Eko	Folk		Celtica	1189		100196	
190	Gutierrez Brothers	Folk	Gospel	Jesus Fill My Heart	1190	2002	100197	
191	Stacie Orrico	Folk	Gospel	Stacie Orrico	1191	2003	100198	
192	Arjan & Efi	Folk		Over De Grenzen	1192		100200	
193	Various Artists	Folk	National Folk	14 Hollandse Nieuwe Gouwe Cd12	1193		100201	
194	Kohala	Folk	Folk	Cool Breeze	1194	2003	100202	
195	Alison Krauss & Union Station	Folk	Bluegrass	So Long So Wrong	1195	1997	100203	
196	Erin Berghouse	Folk	Folk-rock	Deception	1196	1998	100204	
197	Evabritt Strandberg	Folk	Folk	Evabritt Strandberg Sjunger Brel	1197		100205	
198	Battlefield Band	Folk	Folk	Farewell To Nove Scotia	1198	1975	100206	
199	Poems For Laila	Folk	Folk	Frã¼hstã¼ck In Budapest	1199	2004	100207	
200	Andesmanta	Folk		Causai Pacha	1200		100208	
201	Raza India	Folk	Folklore	Raza India	1201		100209	
202	Serge Camille	Folk	Folk	Beau Vallon	1202	1990	100210	
203	Liz Barnes	Folk	Folk-rock	Inkmarks On Pages	1203	1996	100211	
204	Various	Folk	Folk	Grapevine: A Collection	1204	1999	100212	
205	Men Of Worth	Folk		Harvest Moon	1205		100213	
206	Betty Elders	Folk		Crayons	1206		100214	
207	Wild Magnolias	Folk		New Orleans Project	1207		100215	
208	Â¿â¹â¼ã¶ã€ã¼âµâµâ´ãœ	Folk	Gospel	Ã‡ã¢â±ã¢	1208	1999	100216	
209	Amakye Dede	Folk		Me Fre Wo	1209		100217	
210	Various Artists	Folk	Dance	Euro Darkness 1 Ã£â‚¬å“the Early Days Of Sebã£â‚¬å“	1210		100218	
211	Simon And Garfunkel	Folk	Folk	Wednesday Morning 3 Am	1211	1974	100219	
212	Ho, Don	Folk	Folk	Essentials, The	1212	2002	100220	
213	Die Zillertaler	Folk	Folk	I Muaãÿ Dir No Sag'n Das I Di Gern Hab	1213	1995	100222	
214	Joyas Del Mariachi	Folk		Clasicas De Serenata	1214		100223	
215	Edith Piaf	Folk		N. 3	1215		100224	
216	Paquita La Del Barrio	Folk	Ranchera	Azul Celeste	1216	2000	100225	
217	Munter Macher	Folk	National Folk	Wenn Es Noch Engel Gibt Auf Erden	1217		100226	
218	Helen Shapiro	Folk	Folk	Walking Back To Happiness	1218	1996	100227	
219	Dana Robinson	Folk	Folk	Midnight Salvage	1219	1997	100228	
220	Piotr Szczepanik	Folk	Folk	Najwieksze Przeboje	1220	1991	100229	
221	Erin Mckeown	Folk	Folk Diva	Grand	1221	2003	100230	
222	Carlos Di Sarli	Folk	Tango	Cascabelito	1222		100231	
223	Lasse Stefanz	Folk	Dance Hall	Vã¥r Kã¤rlek Ã¤r Stark	1223	2002	100232	
224	Carlos Nunez	Folk		Brotherhood Of Stars	1224		100233	
225	Harald Immig	Folk		Nach Hause	1225		100234	
226	The Travelling Jewish Wedding	Folk		Golden Gate Gypsy Orchestra	1226		100235	
227	Terje Tysland	Folk	Folk-rock	Det Goe Liv	1227	2004	100236	
228	One	Folk	Folk	One	1228		100237	
229	Mick Moloney	Folk		Mick Moloney With Eugene O'donnel	1229		100238	
230	Melanie	Folk		Precious Cargo	1230		100239	
231	Various	Folk	Folk	Hollandse Kanjers	1231	1994	100240	
232	Penelope Houston	Folk	Folk-rock	The Whole World	1232	1993	100241	
233	Titti Bianchi & Ruggero Scandiuzzi	Folk	Folk	Serenata	1233		100242	
234	Kamebushi Yuka & The Voices Of Japan	Folk	Gospel	Dedication	1234	2002	100243	
235	Jari Sillanpã¤ã¤	Folk	Finnish	Jari Sillanpã¤ã¤	1235		100244	
236	Shalom Hanoch	Folk	Israel	Or Israeli	1236	2003	100245	
237	Bluatschink	Folk		Bluatschink	1237		100246	
238	Ibrahim Tatlises	Folk	Folk	Ah Keskem	1238		100247	
239	Wilbury Clan	Folk		Live	1239		100248	
240	Chris Newman And Mã¡ire Nã­ Chathasaigh	Folk	Folk	Dialogues	1240		100249	
241	Trakia Folk 2003	Folk	Pop-folk	Trakia Folk 2003	1241	2003	100250	
242	Brothers Four	Folk	Folk	The Tokyo Tapes	1242		100251	
243	Los Super Seven	Folk	Latin	Canto	1243	2001	100252	
244	Various Artists	Folk		^made In Greece	1244		100253	
245	After Forever	Folk	Gothic	Prison Of Desire	1245		100254	
246	Pipedown	Folk	Celtic	The First Measure	1246	2002	100255	
247	Joe Arroyo	Folk	Folk	Grandes Ritmos Del Caribe	1247	1991	100256	
248	Yarkin	Folk		Ten	1248		100257	
249	Shamrock Duo	Folk	Folk	Aus Allen Himmelsrichtungen	1249	1991	100258	
250	Wow & Flutter	Folk	Indie	Pounding The Pavement	1250	1999	100259	
251	Ghymes	Folk		Smaragdvã¡ros	1251		100260	
252	Pete Nelson	Folk		The Restless Boys' Club	1252		100261	
253	Connie Dover	Folk	Folk	The Border Of Heaven	1253	2000	100262	
254	Autori Vari	Folk		Pizzica & Rinascita	1254		100263	
255	Alan Stivell	Folk		1 Douar	1255		100264	
256	Waterson:carthy	Folk	Folk	Broken Ground	1256	1999	100265	
257	Jill Knight	Folk		Future Perfect	1257		100266	
258	At-tambur	Folk	Tradicional	At-tambur	1258	2003	100267	
259	Doble R S.S.S.	Folk		Lanta!! Lanta!! Bini Bei!	1259		100268	
260	R. B. Nicol, R. U. Brown	Folk		Masters Of Piobaireachd, Volume One	1260		100269	
261	Dara Bubamara	Folk	Folk	2001	1261	2001	100270	
262	The Last Dance	Folk	Gothic	Now And Forever	1262	2002	100271	
263	Nocheros	Folk	Folk	Estado Natural	1263	2003	100272	
264	Blandade Artister	Folk		100% Barn	1264		100273	
265	Chris Daring	Folk	Folk	The Whole Nine Yards	1265		100274	
266	Kaj Og Andrea	Folk	National Folk	Pã¦nt Goddag	1266	1996	100275	
267	Don Stanley & Middle Creek	Folk	Bluegrass	Just Because Of Him	1267		100276	
268	Nashville Superpickers	Folk	Bluegrass	Pickin' On The 50's	1268	1994	100277	
269	Ãžã•ã„ããšã‡ã“_ã‘ãã“ãã•ã‹ã‡ã“_ã„ã‡ãˆã…ã	Folk	Folk	Ã”ã¡ Ã¤ãžã¨ã¥ã­	1269		100278	
270	Various Artists	Folk	Bossa Nova	Um Barquinho E Um Violã£o - Vol.1 Disco 2	1270		100279	
271	Jorge Negrete	Folk		Lo Mejor De Jorge Negrete	1271		100280	
272	Scott Whitney	Folk	Acoustic	Guitjazzathon	1272	2003	100281	
273	Lesjaskog Trekkspillklubb	Folk	Gammeldans	Trekkspilltreff I Sã¸ristua	1273	1998	100282	
274	Sally Ann And Shadymile	Folk		Sally Ann And Shadymile	1274		100283	
275	Aretha Franklin	Folk	Gospel	Abracadabra	1275	1997	100284	
276	Billy Edd Wheeler & Paul Craft	Folk		Songs And Legends Of The Outer Banks	1276		100285	
277	Billy Diamond	Folk		Come And I Will Sing You	1277		100286	
278	Donovan	Folk	Folk	The Very Best Of	1278		100287	
279	Jim Bryson	Folk	Folk-rock	The North Side Benches	1279	2003	100288	
280	Andrã©s Calamaro	Folk	Folklore	El Cantante	1280	2004	100289	
281	Alice	Folk	Pop	Mezzogiorno Sulle Alpi	1281	1992	100290	
282	Alberto Y Emilia	Folk	Folk	Asignaturas Pendientes	1282	1993	100291	
283	Gal Costa	Folk		O Melhor De Gal Costa	1283		100292	
284	Bzn	Folk	Pop	Crystal Gazer	1284	1989	100293	
285	Emerald Rose	Folk		Emerald Rose	1285		100294	
286	Lawrence Laughing	Folk	Native American	Now Our Minds Are One	1286	2000	100295	
287	Ekeinos & Ekeinos	Folk	Folk	Mia Ginaika Mono Kserei	1287	2000	100296	
288	Ghymes	Folk	Folk	Az Ifjãºsã¡g Sã³lyommadã¡r	1288	1988	100297	
289	Blackthorn	Folk	Celtic	The Other Side	1289	1998	100298	
290	Lenka Filipova	Folk	Folk	Tisic Zpusobu Jak Zabit Lasku	1290	2003	100299	
291	Judy Collins	Folk		Both Sides Now (1998)	1291		100300	
292	Lã©a Mendonã§a	Folk	Gospel	Louvor Profã©tico	1292	2004	100301	
293	Hector	Folk	Folk	Hidas	1293	1999	100302	
294	Auscultate	Folk	Chorus	Mystical Chants - The Songs Of The Beatles	1294		100303	
295	Adriano Celentano	Folk	Folk	Le Robe Che Ha Detto Adriano	1295		100304	
296	Jim Hiscott	Folk		Spirit Reel	1296		100306	
297	Enzo Iannacci	Folk	Folk	Enzo Iannacci	1297	2000	100307	
298	Various Artists	Folk	Folk	Platinum Folk Live 2	1298	2000	100308	
299	Various Artists	Folk	Gospel	I Am Not Ashamed Of The Gospel	1299	2001	100309	
300	Lole Y Manuel	Folk	Flamenco	Hojitas De Menta	1300	2000	100310	
301	Various Native Artists	Folk	Folk	Global Celebration: Gatherings	1301		100311	
302	Cheb Mami	Folk	Rai	Dellali	1302	2001	100312	
303	Yang Yi He-erhu	Folk	Folk	The Flowing River Water	1303		100313	
304	Trovante	Folk	National Folk	Uma Noite Sã³ (disc 2)	1304	2000	100314	
305	5-fold	Folk	Gospel	5-fold	1305	2002	100315	
306	Various	Folk	Folk	Hot Newfoundland Tunes 4 Christmas	1306	2003	100316	
307	Inti (jorge Alfaro)	Folk		Because Of You	1307		100317	
308	Jane Siberry	Folk	Folk	When I Was A Boy	1308		100318	
309	Within Temptation	Folk	Gothic	Mother Earth Tour (dvd Live Cd)	1309	2002	100319	
310	Rough Guide To Bhangra	Folk	Indie	Rough Guide To Bhangra	1310	2002	100320	
311	Ichu	Folk	Misc	Ichu	1311		100321	
312	Simon & Garfunkel	Folk	Folk/rock	Bookends (reissue)	1312	1968	100322	
313	Tree Of Shadows	Folk	Folk-rock	Pause	1313	2000	100323	
314	Johann Murg	Folk	Folk	Zauber Auf Der Steirischen Harmonika	1314	1989	100324	
315	Grupo Atrapado	Folk	Latin	En La Frontera	1315	1999	100325	
316	Maã±a's	Folk	Folk	Mariachi Andino	1316		100326	
317	Roger Chevrier	Folk		C'est Noã«l! C'est Noã«l! C'est Noã«l!	1317		100327	
318	Charlie Hart, Ben Waters, Chris Jagger	Folk	Folk-rock	Atcha Acoustic (from Lhasa To Lewisham)	1318	1997	100328	
319	Maria Dimitriadi	Folk		To Magiko Kleidi	1319		100329	
320	Machitãºn	Folk		Pasiã³n Latina	1320		100330	
321	Various Artists	Folk	Folklore	Las Mejores Rumbas, 1	1321	1991	100331	
322	Carlos Vives	Folk	Vallenato	La Tierra Del Olvido	1322	2000	100332	
323	Minstrels Of Mayhem	Folk		Now	1323		100333	
324	Andrew Lorand	Folk		Location Location Location	1324		100335	
325	Reverend Gary Davis	Folk	Gospel	A Little More Faith	1325		100336	
326	La Tordue	Folk	Folk	Champ Libre	1326	2002	100337	
327	Â½â²âµ^	Folk	Jazz	Â½â²âµ^âªã·â¤ã¹â¤lâ¡]â³ã¼â¡^â¤ã‘â²pâºqâ¤k	1327	2001	100338	
328	Mark Tindle	Folk	Instrumental	Airs Of Ireland	1328	1991	100339	
329	Ivan I Vrã¥a	Folk	Dragspel	Sommarkvã¤ll Vid Grã¶cken	1329		100340	
330	Elaine De Jesus	Folk	Gospel	Muito Especial-play-back	1330		100341	
331	Wylde Nept	Folk	Folk/rock	Live In 3-d	1331	1998	100342	
332	Out Of Eden	Folk	Gospel	This Is Your Life	1332	2002	100343	
333	Juliette Greco	Folk	Vocal	Aimez-vous Les Uns Les Autres Ou Bien Disparaissez	1333	2003	100344	
334	Cursive	Folk	Indie	Splits-eps	1334	2002	100345	
335	Mush	Folk		Return Of The Giant School Girl - Crush	1335		100346	
336	Chris & Meredith Thompson	Folk		Ithaca	1336		100347	
337	Obituary	Folk	Metal	Godly Beings	1337		100348	
338	Laboratorio Musicale Del Graal	Folk	Celtic	Sacred Land	1338	2002	100349	
339	Benny Neyman	Folk	Folk	De Grootste Sucessen	1339		100350	
340	Mynta	Folk		Nandu's Dance	1340		100351	
341	Chiclete Com Banana	Folk	Axã©	Ã‰ Festa!	1341		100352	
